S.No,State/UT,District,Designation,Official Email,Phone
1,Andaman & Nicobar,South Andaman,Deputy Commissioner,dcand@and.nic.in,03192-233089
2,Andaman & Nicobar,North & Middle Andaman,Deputy Commissioner,dcnmad@gmail.com,03192-262999
3,Andaman & Nicobar,Nicobar,District Magistrate,dcnicobar2@gmail.com,03193-265177
4,Andhra Pradesh,Ananthapuramu,Collector & DM,collector_antp@ap.gov.in,9493188801
5,Andhra Pradesh,Chittoor,Collector & DM,collectorchittoor@gmail.com,8572240333
6,Andhra Pradesh,East Godavari,Collector & DM,collector_egd@ap.gov.in,8842365424
7,Andhra Pradesh,Guntur,Collector & DM,collector_gntr@ap.gov.in,8632234990
8,Andhra Pradesh,Krishna,Collector & DM,collector_krsn@ap.gov.in,8672252668
9,Andhra Pradesh,Kurnool,Collector & DM,collector_krnl@ap.gov.in,8518220006
10,Andhra Pradesh,Prakasam,Collector & DM,collector_pkm@ap.gov.in,8886616001
11,Andhra Pradesh,Srikakulam,Collector & DM,collector_sklm@ap.gov.in,8942222565
12,Andhra Pradesh,Nellore,Collector & DM,collector_nlr@ap.gov.in,8612331999
13,Andhra Pradesh,Visakhapatnam,Collector & DM,collector_vspm@ap.gov.in,8912563121
14,Andhra Pradesh,Vizianagaram,Collector & DM,collector_vznm@ap.gov.in,8922276720
15,Andhra Pradesh,West Godavari,Collector & DM,collector_wgd@ap.gov.in,8812230051
16,Andhra Pradesh,YSR Kadapa,Collector & DM,collector_kdp@ap.gov.in,8562244676
17,Arunachal Pradesh,Anjaw,Deputy Commissioner,dc-anjaw-arn@nic.in,9436256688
18,Arunachal Pradesh,Changlang,Deputy Commissioner,dc-chang-arn@nic.in,03808-222221
19,Arunachal Pradesh,Dibang Valley,Deputy Commissioner,dc-dvalley-arn@nic.in,03801-249222
20,Arunachal Pradesh,East Kameng,Deputy Commissioner,dc-ekmg-arn@nic.in,9703934553
21,Arunachal Pradesh,East Siang,Deputy Commissioner,dc-esiang-arn@nic.in,0368-2222340
22,Arunachal Pradesh,Kra Daadi,Deputy Commissioner,dc-krd-arn@gov.in,3788264301
23,Arunachal Pradesh,Kurung Kumey,Deputy Commissioner,dc-kkumey-arn@nic.in,8794176533
24,Arunachal Pradesh,Lohit,Deputy Commissioner,dc-lohit-arn@nic.in,03804-224485
25,Arunachal Pradesh,Longding,Deputy Commissioner,dc-longding-arn@nic.in,
26,Arunachal Pradesh,Lower Dibang Valley,Deputy Commissioner,dc-ldvalley-arn@nic.in,03803-222223
27,Arunachal Pradesh,Lower Subansiri,Deputy Commissioner,dc-lsuban-arn@nic.in,9717748244
28,Arunachal Pradesh,Namsai,Deputy Commissioner,dc-namsai-arn@gov.in,03806-262228
29,Arunachal Pradesh,Papum Pare,Deputy Commissioner,dc-ppare-arn@nic.in,9436041816
30,Arunachal Pradesh,Shi Yomi,Deputy Commissioner,dc-shy-arn@gov.in,9436836666
31,Arunachal Pradesh,Siang,Deputy Commissioner,dc-siang-arn@gov.in,8730804663
32,Arunachal Pradesh,Tawang,Deputy Commissioner,dc-twng-arn@nic.in,03794-222221
33,Arunachal Pradesh,Tirap,Deputy Commissioner,dc-tirap-arn@nic.in,03786-222222
34,Arunachal Pradesh,Upper Siang,Deputy Commissioner,dc-usiang-arn@nic.in,9436058006
35,Arunachal Pradesh,West Kameng,Deputy Commissioner,dc-wkmg-arn@nic.in,03782-222021
36,Assam,Baksa,Deputy Commissioner,dc-baksa@nic.in,03624-234524
37,Assam,Barpeta,Deputy Commissioner,dc-barpeta@nic.in,03665-252129
38,Assam,Biswanath,Deputy Commissioner,dc-biswanath@gov.in,03715-230071
39,Assam,Bongaigaon,Deputy Commissioner,dc-bongaigaon@nic.in,03664-230889
40,Assam,Cachar,Deputy Commissioner,dc-cachar@nic.in,03842-245056
41,Assam,Charaideo,Deputy Commissioner,dc-charaideo@nic.in,03772-256567
42,Assam,Chirang,Deputy Commissioner,dc-chirang@nic.in,03664-241992
43,Assam,Darrang,Deputy Commissioner,dc-darrang@nic.in,03713-222135
44,Assam,Dhemaji,Deputy Commissioner,dc-dhemaji@nic.in,03753-224208
45,Assam,Dhubri,Deputy Commissioner,dc-dhubri@nic.in,03662-230050
46,Assam,Dibrugarh,Deputy Commissioner,dc-dibrugarh@nic.in,0373-2316063
47,Assam,Dima Hasao,Deputy Commissioner,dc-nchills@nic.in,03673-236222
48,Assam,Goalpara,Deputy Commissioner,dc-goalpara@nic.in,03663-240030
49,Assam,Golaghat,Deputy Commissioner,dc-golaghat@nic.in,03774-280222
50,Assam,Hailakandi,Deputy Commissioner,dc-hailakandi@nic.in,03844-222251
51,Assam,Hojai,Deputy Commissioner,dchojai@gmail.com,03674-284455
52,Assam,Jorhat,Deputy Commissioner,dc-jorhat@nic.in,0376-2320020
53,Assam,Kamrup Metropolitan,Deputy Commissioner,dc-kamrupm@nic.in,0361-2540149
54,Assam,Kamrup,Deputy Commissioner,dc-kamrup@nic.in,0361-2684404
55,Assam,Karbi Anglong,Deputy Commissioner,dc-kanglong@nic.in,03671-272257
56,Assam,Karimganj,Deputy Commissioner,dc-karimganj@nic.in,03843-262103
57,Assam,Kokrajhar,Deputy Commissioner,dc-kokrajhar@nic.in,03661-270741
58,Assam,Lakhimpur,Deputy Commissioner,dc-lakhimpur@nic.in,03752-222196
59,Assam,Majuli,Deputy Commissioner,dc-majuli@nic.in,03775-274424
60,Assam,Morigaon,Deputy Commissioner,dc-morigaon@nic.in,03678-240225
61,Assam,Nagaon,Deputy Commissioner,dc-nagaon@nic.in,03672-233185
62,Assam,Nalbari,Deputy Commissioner,dc-nalbari@nic.in,03624-220496
63,Assam,Sivasagar,Deputy Commissioner,dc-sibsagar@nic.in,03772-220011
64,Assam,Sonitpur,Deputy Commissioner,dc-sonitpur@nic.in,03712-220011
65,Assam,South Salmara,Deputy Commissioner,dc-southsalmara@nic.in,9788144301
66,Assam,Tinsukia,Deputy Commissioner,dc-tinsukia@nic.in,0374-2331572
67,Assam,Udalguri,Deputy Commissioner,dc-udalguri@nic.in,03690-1646641
